Po rt  is  open ed
00 31 0000 0001 4850800500c88011
08 31 0000 2506 0120100000000000
04 31 0000 5003 0201cc0000000000
08 31 0000 4501 2000012800040000
08 31 0000 7501 0000000000000000
07 31 0000 3002 0000000000000000
08 31 0000 7003 0201000000000000
02 31 0000 3502 0000000000000000
07 31 0000 0503 0000000010100000
08 31 0000 2506 0020000000000000
08 31 0000 2506 0020000000000000
08 31 0000 2506 0020000000000000
08 31 0000 2506 0020000000000000
08 31 0000 2506 0020000000000000
08 31 0000 2506 0148400000000000
02 31 0000 4003 00001b0000000000
08 31 0000 2506 0048500000000000
07 31 0000 1a01 c000408001000000
08 31 0000 4501 2000012800040000
08 31 0000 0801 8800000000000000
08 31 0000 7501 0000000000000000
07 31 0000 3002 0000000000000000
08 31 0000 0801 0200000000000000
07 31 0000 3001 01000000ff03ff00
04 31 0000 5003 0201ca00ff03ff00
05 31 0000 0004 210000000003ff00
05 31 0000 1001 0c0000000003ff00
08 31 0000 7003 0201000000000000
08 31 0000 2005 0081000000000000
01 31 0000 1503 0081000000000000
07 31 0000 0503 0000000010900000
08 31 0000 2606 0111000000000000
08 31 0000 0801 0200000000000000
07 31 0000 9001 0000ad7580025e00
04 31 0000 7001 74f61b0080025e00
08 31 0000 2506 0048500000000000
08 31 0000 0801 0200000000000000
08 31 0000 4501 00801c82c0040000
08 31 0000 7501 0000000000000000
07 31 0000 3002 0000000000000000
04 31 0000 5003 0201ca0200000000
07 31 0000 3001 01000000ff03ff00
05 31 0000 1001 0c0000000003ff00
08 31 0000 7003 0201000000000000
07 31 0000 0503 0000000010900000
08 31 0000 0801 0200000000000000
02 31 0000 3502 0000000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
08 31 0000 4501 00801c82c0040000
05 31 0000 1001 0c00000000040000
07 31 0000 3001 01000000ff03ff00
02 31 0000 7503 00aa0000ff03ff00
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
06 31 0000 9000 0000f10000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
08 31 0000 3706 0100100000000000
05 31 0000 1001 0c00000000000000
08 31 0000 4501 00801c82c0040000
08 31 0000 7501 0000000000000000
08 31 0000 0801 0300000000000000
01 31 0000 1501 0000000000000000
04 31 0000 9502 02aa3eaa00000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
08 31 0000 4501 00801c82c0040000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
07 31 0000 3001 01000000ff03ff00
02 31 0000 7503 00aa0000ff03ff00
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
05 31 0000 0004 2100000000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
08 31 0000 0801 0300000000000000
07 31 0000 1a01 c000408001000000
03 31 0000 8801 0100008001000000
08 31 0000 4004 4854a40500c88011
02 31 0000 0005 0060a40500c88011
08 31 0000 3005 8888000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
05 31 0000 1001 0c00000000000000
07 31 0000 9001 0000ad7580025e00
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
07 31 0000 3001 0100000000000000
02 31 0000 7503 00aa000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
08 31 0000 0801 0300000000000000
04 31 0000 9502 02aa5ea900000000
08 31 0000 2506 0048500000000000
03 31 0000 6003 0000000000000000
08 31 0000 0801 0300000000000000
01 31 0000 1503 0000000000000000
05 31 0000 1001 0c00000000000000
06 31 0000 9000 0000f10000000000
08 31 0000 0801 0300000000000000
04 31 0000 5003 0201cc0200000000
07 31 0000 3002 0000000000000000
08 31 0000 7003 0201000000000000
07 31 0000 0503 0000000010900000
08 31 0000 2506 0048500000000000
02 31 0000 3502 0000500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
07 31 0000 3001 0100000000000000
02 31 0000 7503 00aa000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 0004 2100000000000000
05 31 0000 1001 0c00000000000000
08 31 0000 0801 0300000000000000
01 31 0000 1501 0000000000000000
08 31 0000 4501 00801c82c0040000
02 31 0000 5501 00341b00c0040000
01 31 0000 3003 08000000c0040000
08 31 0000 4004 4854a80500c88011
08 31 0000 3005 8888000000000000
08 31 0000 2506 0048500000000000
08 31 0000 2005 0081000000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
07 31 0000 9001 0000ad7580025e00
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
07 31 0000 3001 0100000000000000
02 31 0000 7503 00aa000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
08 31 0000 0801 0300000000000000
04 31 0000 9502 02aa7ea800000000
07 31 0000 1a01 c000408001000000
02 31 0000 0005 005f408001000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
07 31 0000 3001 0100000000000000
02 31 0000 7503 00aa000000000000
06 31 0000 9000 0000f10000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0c00000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 0004 2100000000000000
05 31 0000 1001 0c00000000000000
08 31 0000 0801 0300000000000000
01 31 0000 1501 0000000000000000
08 31 0000 4501 00001c82c0040000
02 31 0000 5501 00341c82c0040000
03 31 0000 8801 01000000c0040000
08 31 0000 4004 4854ac0500c88011
08 31 0000 3005 8888000000000000
03 31 0000 6003 0000000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
07 31 0000 3001 0000000000000000
05 31 0000 1001 0000000000000000
08 31 0000 2606 0011000000000000
07 31 0000 9001 0000ad7580025e00
08 31 0000 0801 0300000000000000
04 31 0000 5003 0201cc0200000000
07 31 0000 3002 0000000000000000
08 31 0000 4501 00001c82c0040000
08 31 0000 7003 0201000000000000
07 31 0000 0503 0000000010900000
08 31 0000 2506 0048500000000000
02 31 0000 3502 0000500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0000000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0000000000000000
07 31 0000 3001 0000000000000000
02 31 0000 7503 00aa000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
06 31 0000 9000 0000710000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0000000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0000000000000000
08 31 0000 0801 0300000000000000
01 31 0000 1501 0000000000000000
08 31 0000 4501 00001c82c0040000
04 31 0000 7001 54f61b00c0040000
04 31 0000 9502 02aa9ea7c0040000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0000000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0000000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0000000000000000
07 31 0000 3001 0000000000000000
02 31 0000 7503 00aa000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0000000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0000000000000000
05 31 0000 0004 2100000000000000
06 31 0000 9000 0000710000000000
08 31 0000 0801 0300000000000000
07 31 0000 1a01 c000408001000000
03 31 0000 8801 0100008001000000
08 31 0000 4004 4854b00500c88011
02 31 0000 0005 005fb00500c88011
08 31 0000 2005 0081000000000000
08 31 0000 3005 8888000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
05 31 0000 1001 0000000000000000
07 31 0000 9001 0000ad7580025e00
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0000000000000000
08 31 0000 0801 0300000000000000
08 31 0000 2506 0048500000000000
08 31 0000 0801 0300000000000000
05 31 0000 1001 0000000000000000
07 31 0000 3001 0000000000000000
